created,slug,company,contact,campaign,dest,url
2026-08-24,adameck-hvac,AdamEck HVAC,707-266-1033,napa-uncontacted,napa-report.html,https://aoaudit.com/p/adameck-hvac.html
2026-08-24,azteca-market-taqueria,Azteca Market & Taqueria,https://aztecanapavalley.com/contact-us/,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/azteca-market-taqueria.html
2026-08-24,bob-duff-s-pest-control,Bob & Duff's Pest Control,micah@micahrich.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/bob-duff-s-pest-control.html
2026-08-24,butter-cream-bakery,Butter Cream Bakery,https://buttercreambakery.com/contact-us/,napa-uncontacted,napa-report.html,https://aoaudit.com/p/butter-cream-bakery.html
2026-08-24,ceja-vineyards,Ceja Vineyards,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/ceja-vineyards.html
2026-08-24,compass-of-california-insurance-services,Compass of California Insurance Services,https://www.compassofca.com/contact-us/,napa-uncontacted,napa-report.html,https://aoaudit.com/p/compass-of-california-insurance-services.html
2026-08-24,cooked-by-gio,Cooked By Gio,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/cooked-by-gio.html
2026-08-24,denny-s-heating-air-conditioning,Denny's Heating & Air Conditioning,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/denny-s-heating-air-conditioning.html
2026-08-24,extreme-steam-carpet-cleaning,Extreme Steam Carpet Cleaning,info@wordpress-1533496-5915351.cloudwaysapps.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/extreme-steam-carpet-cleaning.html
2026-08-24,garaventa-florist,Garaventa Florist,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/garaventa-florist.html
2026-08-24,green-thumb-landscape-service,Green Thumb Landscape Service,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/green-thumb-landscape-service.html
2026-08-24,hyatt-electric,Hyatt Electric,https://www.facebook.com/pg,napa-uncontacted,napa-report.html,https://aoaudit.com/p/hyatt-electric.html
2026-08-24,ignacio-gonzalez-landscaping,Ignacio Gonzalez Landscaping,(707) 603-5363,napa-uncontacted,napa-report.html,https://aoaudit.com/p/ignacio-gonzalez-landscaping.html
2026-08-24,jam-cellars,JaM Cellars,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/jam-cellars.html
2026-08-24,jackie-silva-schreck-piano-studio,Jackie Silva-Schreck Piano Studio,lessons@napapianoteacher.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/jackie-silva-schreck-piano-studio.html
2026-08-24,joey-s-bakery,Joey's Bakery,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/joey-s-bakery.html
2026-08-24,la-cheve-bakery-and-brews,La Cheve Bakery and Brews,https://www.instagram.com/ilovelacheve,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/la-cheve-bakery-and-brews.html
2026-08-24,mathman-tutoring,Mathman Tutoring,https://mathmantutoring.net/index.php/contact,napa-uncontacted,napa-report.html,https://aoaudit.com/p/mathman-tutoring.html
2026-08-24,mercadito-catering-food-truck,Mercadito Catering (food truck),info@mercaditocatering.com;mercaditocatering@gmail.com,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/mercadito-catering-food-truck.html
2026-08-24,napa-autowerke,Napa Autowerke,https://www.napaautowerke.com/About/Contact,napa-uncontacted,napa-report.html,https://aoaudit.com/p/napa-autowerke.html
2026-08-24,napa-bookkeepers-llc,"Napa Bookkeepers, LLC",contact@sansoxygen.com;impallari@gmail.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/napa-bookkeepers-llc.html
2026-08-24,napa-bookmine,Napa Bookmine,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/napa-bookmine.html
2026-08-24,napa-party-rentals,Napa Party Rentals,info@partyrentalsnapa.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/napa-party-rentals.html
2026-08-24,napa-valley-hauling,Napa Valley Hauling,customercare@nvhauling.com,napa-uncontacted,napa-report.html,https://aoaudit.com/p/napa-valley-hauling.html
2026-08-24,oxbow-public-market,Oxbow Public Market,https://www.instagram.com/reel,napa-uncontacted,napa-report.html,https://aoaudit.com/p/oxbow-public-market.html
2026-08-24,padilla-s-roofing,Padilla's Roofing,https://www.padillasroofing.com/contact-us,napa-uncontacted,napa-report.html,https://aoaudit.com/p/padilla-s-roofing.html
2026-08-24,pasta-prego,Pasta Prego,https://pastaprego.com/contact.html,napa-uncontacted,napa-report.html,https://aoaudit.com/p/pasta-prego.html
2026-08-24,pilates-napa-valley,Pilates Napa Valley,http://pilatesnapavalley.com/pages/contact,napa-uncontacted,napa-report.html,https://aoaudit.com/p/pilates-napa-valley.html
2026-08-24,platanito-latin-cuisine,Platanito Latin Cuisine,https://www.platanitolatincuisine.com/contact,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/platanito-latin-cuisine.html
2026-08-24,sweet-sisters-driving-school,Sweet Sisters Driving School,https://www.sweetsistersdriving.com/contact-us,napa-uncontacted,napa-report.html,https://aoaudit.com/p/sweet-sisters-driving-school.html
2026-08-24,tacos-el-muchacho-alegre,Tacos El Muchacho Alegre,https://www.instagram.com/tacoselmuchachoalegre,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/tacos-el-muchacho-alegre.html
2026-08-24,tapia-locksmith,Tapia Locksmith,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/tapia-locksmith.html
2026-08-24,taqueria-maria,Taqueria Maria,(707) 257-6925,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/taqueria-maria.html
2026-08-24,taqueria-rosita,Taqueria Rosita,none found,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/taqueria-rosita.html
2026-08-24,the-bennington-napa-valley,The Bennington Napa Valley,https://thebenningtonnapa.com/pages/contact-us,napa-uncontacted,napa-report.html,https://aoaudit.com/p/the-bennington-napa-valley.html
2026-08-24,the-inn-on-first,The Inn on First,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/the-inn-on-first.html
2026-08-24,the-organic-esthetician,The Organic Esthetician,http://instagram.com/the_organic_esthetician,napa-uncontacted,napa-report.html,https://aoaudit.com/p/the-organic-esthetician.html
2026-08-24,turner-moving-storage,Turner Moving & Storage,https://turnermoving.com/contact-us/,napa-uncontacted,napa-report.html,https://aoaudit.com/p/turner-moving-storage.html
2026-08-24,villa-corona,Villa Corona,https://www.instagram.com/villacoronanapa,napa-uncontacted,napa-reporte.html,https://aoaudit.com/p/villa-corona.html
2026-08-24,vintner-s-collective,Vintner's Collective,none found,napa-uncontacted,napa-report.html,https://aoaudit.com/p/vintner-s-collective.html
2026-08-24,weekend-b-skincare,Weekend B Skincare,https://www.weekendbskincare.com/contact,napa-uncontacted,napa-report.html,https://aoaudit.com/p/weekend-b-skincare.html
2026-08-24,wine-country-notary-services,Wine Country Notary Services,https://wcnotaryservices.com/contact-us/,napa-uncontacted,napa-report.html,https://aoaudit.com/p/wine-country-notary-services.html
